,time,rank,score
571,2021/11/13 03:10,2,27900
572,2021/11/13 02:23,4,12800
573,2021/11/13 01:38,3,17900
574,2021/11/13 00:55,1,75700
575,2021/11/12 23:17,3,17800
576,2021/11/11 23:29,4,-1500
577,2021/11/11 22:46,3,30400
578,2021/11/11 22:08,2,36300
579,2021/11/11 21:54,1,54300
580,2021/11/11 20:35,2,22100
581,2021/11/11 19:49,2,27400
582,2021/11/11 14:22,4,-13500
583,2021/11/11 12:39,3,28300
584,2021/11/11 05:37,4,6900
585,2021/11/11 04:58,4,15700
586,2021/11/11 04:03,2,33100
587,2021/11/11 03:33,4,-800
588,2021/11/11 02:36,1,46600
589,2021/11/11 01:45,1,32900
590,2021/11/11 01:07,1,38500
591,2021/11/11 00:48,1,36800
592,2021/11/10 23:44,2,23400
593,2021/11/10 22:52,4,1800
594,2021/11/10 21:50,1,30500
595,2021/11/10 21:16,2,26400
596,2021/11/10 20:28,4,18500
597,2021/11/7 14:37,1,61800
598,2021/11/6 21:55,2,28100
599,2021/11/6 21:20,2,32100
600,2021/11/6 20:40,1,33600
601,2021/11/6 20:07,2,37500
602,2021/11/6 19:36,3,11100
603,2021/11/6 17:52,2,24900
604,2021/11/6 17:15,3,17300
605,2021/11/6 16:34,2,36200
606,2021/11/6 15:28,1,36400
607,2021/11/6 14:55,2,18900
608,2021/11/6 13:56,4,12800
609,2021/11/6 13:19,4,4800
610,2021/11/6 11:47,1,62700
611,2021/11/6 08:02,4,14300
612,2021/11/6 07:18,1,40500
613,2021/11/5 22:24,1,40300
614,2021/11/5 16:18,2,33500
615,2021/11/5 15:15,2,24100
616,2021/11/5 14:35,3,15700
617,2021/11/5 13:50,1,38300
618,2021/11/5 13:11,3,10400
619,2021/11/5 12:39,4,12500
620,2021/11/5 11:58,1,36500
621,2021/11/5 11:20,2,35400
622,2021/11/5 10:37,1,35600
623,2021/11/5 09:28,2,29700
624,2021/11/5 08:54,1,34300
625,2021/11/5 05:15,4,14100
