,time,rank,score
338,2022/1/22 23:45,1,58000
339,2022/1/22 22:58,2,28300
340,2022/1/22 22:30,2,28500
341,2022/1/22 22:13,4,-8000
342,2022/1/22 21:40,3,17700
343,2022/1/22 21:17,2,24800
344,2022/1/22 19:29,3,22000
345,2022/1/22 18:39,2,36300
346,2022/1/22 18:02,3,21700
347,2022/1/22 17:41,3,35900
348,2022/1/22 17:30,3,21100
349,2022/1/22 02:12,2,36500
350,2022/1/22 01:40,2,40100
351,2022/1/22 00:58,1,49800
352,2022/1/22 00:19,2,27800
353,2022/1/21 23:32,2,18800
354,2022/1/21 22:49,3,20400
355,2022/1/21 00:57,1,48900
356,2022/1/21 00:10,3,19800
357,2022/1/20 23:34,2,27400
358,2022/1/20 22:47,4,12900
359,2022/1/20 00:40,4,11100
360,2022/1/19 23:56,3,17900
361,2022/1/19 23:27,4,11100
362,2022/1/19 22:41,4,12300
363,2022/1/19 22:03,4,7100
364,2022/1/19 01:39,1,32500
365,2022/1/19 01:06,2,34300
366,2022/1/19 00:25,4,4900
367,2022/1/18 23:47,1,31800
368,2022/1/18 22:52,3,27000
369,2022/1/18 22:24,2,19000
370,2022/1/18 00:10,1,60800
371,2022/1/17 23:21,4,14200
372,2022/1/16 23:47,2,23500
373,2022/1/16 22:30,1,43500
374,2022/1/16 21:37,1,34300
375,2022/1/15 23:35,2,33800
376,2022/1/15 22:44,1,35600
377,2022/1/15 21:21,1,51600
378,2022/1/15 18:28,2,42700
379,2022/1/15 17:22,1,36000
380,2022/1/15 16:47,4,3500
381,2022/1/15 15:59,4,5700
382,2022/1/15 14:22,1,38300
383,2022/1/15 00:25,1,47800
384,2022/1/14 23:53,4,12200
385,2022/1/14 23:04,1,52200
386,2022/1/14 22:20,4,5900
387,2022/1/14 17:11,1,42000
388,2022/1/14 16:40,3,20000
389,2022/1/14 16:05,2,29200
390,2022/1/14 15:04,1,53600
391,2022/1/14 14:08,4,11500
392,2022/1/14 13:18,3,25000
393,2022/1/14 01:09,1,46500
394,2022/1/14 00:20,1,45400
395,2022/1/13 23:30,4,9300
396,2022/1/13 22:36,3,14900
397,2022/1/13 00:48,4,19400
398,2022/1/13 00:27,1,61100
399,2022/1/12 23:46,1,49100
400,2022/1/12 23:04,4,9900
401,2022/1/12 22:31,1,50500
402,2022/1/12 22:00,1,79800
403,2022/1/12 20:51,2,22400
404,2022/1/12 00:39,2,32400
405,2022/1/11 23:40,1,38700
406,2022/1/11 22:39,1,38500
407,2022/1/11 21:55,2,29000
408,2022/1/11 16:50,1,32000
409,2022/1/11 16:04,4,11800
410,2022/1/11 14:49,3,25700
411,2022/1/11 14:15,3,20200
412,2022/1/11 13:42,1,55200
413,2022/1/11 13:12,3,32000
414,2022/1/11 12:44,3,28500
415,2022/1/11 00:52,3,19400
416,2022/1/11 00:04,3,11200
417,2022/1/10 23:15,4,3000
418,2022/1/10 02:06,3,25100
419,2022/1/10 01:30,3,21500
420,2022/1/10 00:29,2,29500
421,2022/1/9 22:31,3,12700
422,2022/1/9 21:51,4,-4700
423,2022/1/9 21:20,4,17300
424,2022/1/9 20:29,1,34800
425,2022/1/9 15:57,1,40400
426,2022/1/9 15:18,4,11200
427,2022/1/9 15:09,4,-900
428,2022/1/9 14:19,1,38500
429,2022/1/9 13:32,4,8900
430,2022/1/9 10:23,1,42200
431,2022/1/9 00:26,1,59000
432,2022/1/8 23:18,1,43800
433,2022/1/8 22:44,4,18000
434,2022/1/8 21:49,4,10100
435,2022/1/8 21:22,2,39200
436,2022/1/8 20:37,2,22100
437,2022/1/8 19:59,3,25300
438,2022/1/8 17:02,1,55600
439,2022/1/8 16:40,4,18800
440,2022/1/8 15:59,4,16900
441,2022/1/8 15:17,1,57800
442,2022/1/8 14:47,4,9000
443,2022/1/8 14:12,3,32800
444,2022/1/8 03:27,4,-1500
